DateTime,AddedIPs,RemovedIPs
1495396125,6,0
1495411743,5,1
1495426356,6,0
1495441002,5,0
1495455627,8,0
1495470279,7,0
1495484916,8,0
1495499534,6,0
1495514169,9,5
1495528827,4,0
1495543465,3,0
1495558363,6,0
1495572998,6,1
1495587723,9,1
1495602270,6,1
1495616916,9,1
1495631562,4,0
1495646169,3,1
1495660838,12,1
1495675455,7,1
1495690095,6,0
1495704731,3,0
1495719385,4,0
1495734038,7,0
1495748646,8,1
1495763323,6,0
1495777934,10,1
1495792595,7,0
1495807283,7,1
1495822128,6,0
1495836873,8,0
1495851632,10,0
1495866255,13,1
1495880915,5,0
1495895574,11,0
1495910208,13,1
1495924835,7,0
1495939474,6,0
1495954139,8,0
1495968754,6,0
1495983376,12,1
1495998286,10,0
1496012890,6,0
1496027805,7,3
1496042438,10,0
1496057064,5,0
1496071961,14,0
1496086607,5,0
1496101233,6,0
1496115868,7,0
1496130767,5,1
1496145385,5,0
1496160089,8,0
1496174672,6,0
1496189290,4,0
1496203950,11,0
1496218580,3,1
1496233484,9,1
1496248107,5,0
1496262731,7,0
1496277373,9,0
1496292043,7,0
1496306650,6,0
1496321292,4,1
1496337671,6,1
1496353269,4,0
1496367878,1,0
1496382505,5,0
1496397148,6,1
1496411775,5,1
1496426500,2,0
1496441063,3,0
1496456465,3,1
1496472530,4,0
1496487501,6,0
1496502035,10,0
1496516672,1,0
1496531326,8,0
1496545961,4,0
1496560595,3,0
1496575250,8,0
1496589850,7,1
1496604503,1,0
1496619141,10,0
1496633782,11,1
1496648412,10,0
1496663046,4,0
1496677711,12,1
1496692353,15,1
1496706993,9,0
1496721685,13,0
1496736270,8,0
1496751154,7,1000
1496765781,1,0
1496780413,6,0
1496795073,6,0
1496809709,5,0
1496824341,4,0
1496838979,9,0
1496853610,5,2
1496868266,10,0
1496882908,8,0
1496897530,6,0
1496912186,3,0
1496926871,17,1
1496941470,5,0
1496956122,14,0
1496971003,16,1
1496985629,5,0
1497000270,7,0
1497015160,5,0
1497029819,7,0
1497044410,2,0
1497059064,9,0
1497073701,6,0
1497088348,10,0
1497102989,14,0
1497117698,9,1
1497132269,10,0
1497146890,5,1
1497161543,7,1
1497176437,10,0
1497191053,7,0
1497205960,9,0
1497220578,5,0
1497235212,5,0
1497249850,6,0
1497264514,4,0
1497279172,7,0
1497293786,10,0
1497308481,1,0
1497323306,4,0
1497338200,7,0
1497352823,5,0
1497367454,5,0
1497382112,9,0
1497396757,11,0
1497411375,7,0
1497426016,3,0
1497440649,8,0
1497455329,10,1
1497469948,7,0
1497484940,1,0
1497499463,7,0
1497514092,3,0
1497528743,5,1
1497543387,5,1
1497558011,5,1
1497572654,5,0
1497587293,6,0
1497601948,6,0
1497616595,3,0
1497631247,10,1
1497645861,7,0
1497660502,8,2
1497675165,7,0
1497689786,4,1
1497704487,4,0
1497719317,6,0
1497733969,6,0
1497748618,5,1
1497763255,5,0
1497777867,6,0
1497792490,3,0
1497807154,7,0
1497821781,5,0
1497836445,3,0
1497851059,4,0
1497865692,6,2
1497880368,4,0
1497894971,8,1
1497909728,10,0
1497924532,6,1
1497939143,2,0
1497953797,7,0
1497968410,4,0
1497983053,5,0
1497997737,6,0
1498012332,4,1
1498026975,3,0
1498041650,6,0
1498056263,7,0
1498070927,7,0
1498085533,4,0
1498100201,8,0
1498114894,8,0
1498129708,5,0
1498144380,6,8
1498159025,4,1
1498173623,6,1
1498188259,5,1
1498202902,7,0
1498217533,3,0
1498232202,7,0
1498246866,7,0
1498261460,4,0
1498276093,3,1
1498290764,5,0
1498305370,1,1
1498320127,2,0
1498334908,4,1
1498349816,9,2
1498364455,4,0
1498379059,10,1
1498393707,10,0
1498408356,5,0
1498423004,4,0
1498437609,2,0
1498452259,2,0
1498467177,4,0
1498481809,3,0
1498496476,2,1
1498511062,6,2
1498525712,3,0
1498540368,2,0
1498554981,4,0
1498569625,3,0
1498584249,6,1
1498599175,5,1
1498613782,2,0
1498628450,2,0
1498643307,2,1
1498657970,9,1
1498672615,10,0
1498687314,17,0
1498701867,18,1
1498716507,9,0
1498731170,4,0
1498745801,9,1
1498760451,9,0
1498775050,9,0
1498789689,4,0
1498804359,8,0
1498818980,5,2
1498833610,7,0
1498848261,7,0
1498863174,7,0
1498878077,2,0
1498892662,5,1
1498907307,6,0
1498921943,6,0
1498936577,2,0
1498951240,5,0
1498965868,2,0
1498980500,8,1
1498995148,5,1
1499009788,4,0
1499024417,1,1
1499039065,4,0
1499053698,4,0
1499068357,5,1
1499083324,3,1
1499097864,8,0
1499112501,5,0
1499127150,5,1
1499142031,7,0
1499156916,5,1
1499171549,7,0
1499186168,13,0
1499201086,8,1
1499215708,6,0
1499230350,5,0
1499244993,5,0
1499259677,5,0
1499274262,7,0
1499288913,5,0
1499303542,5,0
1499318191,6,0
1499332810,8,0
1499347456,7,0
1499362091,11,0
1499376750,8,0
1499391381,15,0
1499406019,5,2
1499420940,8,0
1499435544,4,0
1499450172,6,0
1499464850,6,0
1499479711,7,0
1499494347,8,0
1499508977,10,0
1499523624,9,0
1499538314,3,0
1499552888,4,1
1499567541,8,0
1499582176,8,0
1499596835,3,0
1499611450,4,0
1499626352,8,0
1499640991,7,2
1499655729,9,2
1499670262,7,0
1499684907,10,0
1499699554,10,0
1499714177,6,1
1499728821,10,0
1499743452,7,0
1499760290,5,0
1499775186,5,0
1499789801,15,0
1499804435,4,0
1499819048,3,1
1499833707,5,2
1499848361,1,0
1499862968,11,0
1499877875,4,1
1499892516,5,0
1499907152,5,0
1499921790,8,0
1499936510,7,2
1499951075,9,2
1499965702,5,0
1499980338,6,1
1499994969,5,0
1500009636,11,0
1500024247,5,0
1500038903,13,0
1500053531,8,3
1500068188,4,0
1500082816,7,1
1500097481,9,2
1500112100,10,0
1500126990,15,1
1500141877,6,0
1500156497,6,1
1500171155,7,3
1500185779,4,0
1500200673,5,0
1500215307,11,1
1500229936,8,1
1500244589,9,0
1500259227,7,0
1500273849,6,2
1500288753,11,1
1500303377,7,2
1500318099,12,1
1500332670,1,1
1500347287,4,0
1500361958,8,0
1500376576,10,0
1500391232,5,0
1500405849,6,3
1500420521,5,1
1500435159,6,0
1500449793,3,0
