DateTime,AddedIPs,RemovedIPs
1470699030,120,150
1470785434,179,134
1470871832,216,137
1470958233,145,113
1471044633,142,140
1471131060,100,118
1471217431,112,152
1471303830,101,131
1471390231,129,120
1471476635,130,89
1471563031,128,130
1471649430,154,145
1471735830,116,191
1471822230,92,148
1471908630,129,165
1471995031,145,112
1472081433,180,124
1472167831,138,112
1472254231,156,129
1472340631,134,144
1472427031,116,134
1472513430,123,150
1472599836,142,127
1472686233,190,99
1472772631,315,136
1472859031,133,139
1472945433,245,170
1473031831,269,125
1473118235,256,151
1473204631,224,135
1473291031,158,130
1473377431,139,121
1473463831,153,155
1473550231,147,194
1473591643,47,96
1473768029,117,437
1473854439,80,243
1473940830,131,221
1474027230,95,281
1474113651,147,215
1474200032,122,188
1474286436,90,192
1474372830,120,168
1474459232,170,127
1474545646,169,1
1474632034,152,104
1474718432,141,72
1474804831,143,107
1474891231,136,89
1474977631,142,144
1475064054,130,145
1475150434,152,104
1475236838,147,113
1475323233,111,160
1475409632,135,164
1475496033,102,148
1475582448,166,130
1475668836,169,108
1475755231,133,114
1475841633,173,129
1475928048,218,111
1476014432,300,158
1476100833,211,139
1476187232,157,129
1476273632,161,140
1476360049,181,99
1476446432,164,154
1476532832,154,172
1476619233,121,130
1476705632,122,179
1476792032,122,211
1476878433,167,286
1476964833,201,216
1477051241,182,166
1477137633,164,177
1477224032,139,179
1477310434,195,175
1477396848,176,176
1477483233,221,132
1477569635,257,132
1477656033,275,123
1477742433,148,152
1477828832,183,193
1477915232,182,193
1478001631,225,146
1478088032,136,123
1478174432,146,175
1478260833,119,139
1478347232,145,169
1478433632,107,227
1478520033,127,296
1478606433,173,140
1478692832,173,170
1478779247,168,193
1478865632,139,216
1478952033,181,152
1479038439,163,140
1479124844,144,116
1479211247,198,125
1479297636,248,110
1479384033,179,135
1479470448,167,168
1479556833,155,162
1479643233,184,165
1479729634,196,138
1479816038,174,176
1479902434,135,148
1479988833,181,143
1480075233,152,184
1480161633,179,228
1480248033,135,172
1480334433,153,197
1480420833,240,146
1480507233,200,192
1480593633,261,215
1480680033,203,189
1480766433,172,143
1480852834,176,175
1480939234,189,155
1481025634,225,188
1481113835,205,130
1481200235,179,162
1481286637,152,210
1481373036,204,193
1481459434,199,260
1481545840,188,183
1481632238,171,165
1481718636,175,178
1481805038,172,203
1481891435,143,228
1481977838,176,213
1482064239,165,168
1482150636,167,160
1482237036,152,213
1482323452,158,198
1482409837,142,203
1482496248,149,184
1482582641,202,168
1482669043,132,168
1482755437,237,146
1482841838,158,172
1482928240,166,168
1483014637,192,153
1483101038,115,157
1483187437,104,177
1483273852,104,150
1483360236,141,133
1483446637,136,204
1483533047,204,131
1483619449,160,251
1483705840,188,149
1483792278,161,168
1483878643,160,172
1483965038,162,110
1484051441,165,112
1484137843,205,117
1484224237,184,130
1484310654,164,133
1484397039,117,185
1484483440,116,165
1484569846,122,167
1484656244,162,173
1484742639,170,164
1484829050,233,165
1484915441,127,149
1485001841,151,211
1485088235,489,176
1485174634,163,155
1485261044,167,124
1485347437,158,118
1485433839,154,134
1485520242,178,202
1485606640,123,170
1485693038,83,207
1485779439,145,128
1485865839,220,146
1485952241,148,298
1486038646,184,178
1486125037,263,176
1486211437,183,155
1486297841,174,149
1486384242,265,138
1486470646,144,122
1486557040,167,95
1486643439,158,148
1486729841,152,218
1486816248,126,129
1486902639,141,183
1486989040,173,322
1487075436,165,194
1487161835,156,183
1487248235,301,281
1487334635,228,147
1487421036,219,160
1487507440,205,182
1487593839,156,276
1487680237,173,122
1487766638,224,150
1487853054,253,167
1487939444,236,149
1488025849,177,153
1488112261,227,265
1488198646,178,218
1488281444,158,195
1488367845,181,208
1488454260,168,150
1488540644,135,171
1488627043,150,237
1488713442,138,272
1488799844,134,239
1488886244,140,187
1488972644,133,221
1489059044,130,193
1489145444,162,172
1489231845,127,183
1489318244,118,182
1489404644,106,143
1489491043,137,149
1489577444,138,144
1489663851,207,140
1489750245,183,142
1489836643,160,124
1489923044,141,133
1490009444,134,161
1490095844,173,124
1490182245,158,121
1490268644,131,110
1490355046,122,149
1490441446,162,143
1490527846,171,166
1490614252,167,160
1490700660,152,162
1490787049,159,140
1490873459,190,155
1490959845,197,173
1491046246,168,161
1491132647,157,143
1491219050,153,125
1491305445,167,147
1491391874,143,174
1491478244,184,146
1491564649,138,130
1491651049,155,150
1491737457,143,180
1491823862,156,197
1491910253,195,176
1491996652,222,167
1492083082,253,141
1492169450,198,149
1492255856,167,145
1492342250,142,199
1492428652,180,148
1492515054,186,176
1492601466,153,142
1492687855,193,168
1492774259,133,176
1492860675,208,209
1492947054,132,242
1493033446,178,202
1493119862,226,173
1493206323,181,166
1493292665,243,199
1493379053,200,188
1493465472,226,153
1493551855,223,201
1493638259,141,143
1493724645,163,211
1493811075,155,142
1493897457,210,195
1493983851,112,244
1494070266,140,201
1494156652,124,228
1494243049,168,203
1494329461,1033,226
1494415858,897,198
1494502259,290,146
1494588668,277,162
1494675050,244,156
1494761449,182,197
1494847853,214,111
1494934254,432,154
1495020658,252,131
1495107056,259,171
1495193455,238,960
1495279856,271,827
1495366258,214,293
1495452724,254,283
1495539055,256,236
1495625456,284,204
1495711858,278,205
1495798256,273,429
1495885187,267,256
1495971047,270,258
1496057455,305,254
1496143873,304,274
1496230268,178,216
1496316673,164,252
1496403051,144,237
1496489462,163,280
1496575847,153,271
1496662248,140,270
1496748647,228,287
1496835047,274,276
1496921464,186,329
1497007852,189,322
1497094257,166,195
1497180650,170,152
1497267061,150,129
1497353456,196,173
1497440042,1800,143
1497526246,265,134
1497612657,2313,215
1497699061,1060,254
1497785454,237,160
1497871859,159,163
1497958255,190,162
1498044662,205,169
1498131047,189,170
1498217456,239,225
1498303852,250,1808
1498390250,201,268
1498476651,169,2303
1498563058,226,1061
1498649454,239,251
1498735853,263,194
1498822255,210,197
1498908651,203,224
1498995046,283,203
1499081451,287,218
1499167850,275,242
1499254257,233,230
1499340653,214,193
1499427059,220,245
1499513453,268,264
1499599883,216,299
1499686246,220,225
1499774448,246,207
1499860846,199,276
1499947392,213,262
1500033649,1947,267
1500120048,398,246
1500206448,299,202
1500292848,334,200
1500379263,263,253
